width 20
height 20
1 19 9
5 19 9
6 19 7
9 19 9
13 19 5
15 19 8
3 18 5
7 18 5
11 18 7
19 18 5
1 17 3
4 17 7
10 17 1
12 17 3
15 17 5
18 17 5
19 17 7
0 16 3
3 16 3
8 16 2
9 16 2
11 16 3
14 16 9
16 16 6
17 16 8
18 16 7
0 15 7
2 15 3
7 15 3
10 15 3
12 15 10
16 15 6
17 15 9
4 14 3
8 14 2
0 13 1
7 13 3
8 13 2
10 13 3
12 13 4
13 13 4
0 12 3
2 12 3
4 12 3
8 12 2
9 12 2
12 12 7
15 12 8
16 12 10
17 12 2
18 12 2
3 11 7
11 11 7
16 11 1
3 10 5
10 10 8
0 9 10
5 9 5
9 9 5
19 9 9
3 8 5
15 8 1
18 8 8
1 7 8
3 7 7
4 7 6
5 7 8
13 7 2
14 7 2
17 7 1
18 7 3
0 6 10
6 6 6
7 6 3
10 6 2
11 6 2
15 6 2
16 6 2
6 5 6
11 5 4
14 5 4
18 5 3
1 4 8
7 4 3
8 4 5
17 4 8
0 3 8
1 3 7
3 3 6
6 3 10
9 3 8
8 2 5
10 2 3
12 2 3
14 2 2
16 2 7
3 1 7
5 1 4
10 1 8
14 1 2
18 1 7
19 1 7
1 0 10
4 0 10
7 0 4
8 0 10
12 0 5
16 0 5
19 0 7
